longitude,latitude,time (YYYYMMDDHHMMSS),altitude (km),xco2 (ppm)
173.00466918945312,67.675270080566406,20130515023816,439.13885498046875,395.813
173.00289916992188,67.674606323242188,20130515023820,437.61215209960938,391.412
160.80645751953125,58.613498687744141,20130515024043,642.26568603515625,399.268
160.78369140625,58.672115325927734,20130515024048,644.65631103515625,401.066
144.024169921875,62.932884216308594,20130515041745,912.73175048828125,399.486
144.01507568359375,62.920894622802734,20130515041750,936.91534423828125,400.476
144.01368713378906,62.920890808105469,20130515041754,938.1605224609375,399.666
135.17161560058594,56.149154663085938,20130515042003,658.598876953125,407.028
135.17498779296875,56.157569885253906,20130515042012,667.4129638671875,405.038
120.75193023681641,-25.356718063354492,20130515044143,597.36114501953125,390.448
120.75136566162109,-25.354253768920898,20130515044148,598.16033935546875,390.199
120.73317718505859,-25.296985626220703,20130515044152,639.32977294921875,391.442
115.56047821044922,-24.300991058349609,20130515044211,228.24807739257812,394.736
115.56079864501953,-24.298103332519531,20130515044215,228.4322509765625,393.724
115.55930328369141,-24.290168762207031,20130515044220,228.77461242675781,394.016
114.88980865478516,-26.825139999389648,20130515044225,195.61985778808594,392.31
114.88916015625,-26.823001861572266,20130515044229,195.2847900390625,392.5
114.88885498046875,-26.818855285644531,20130515044234,194.95033264160156,392.013
117.55287933349609,-27.263338088989258,20130515044238,483.8974609375,393.273
117.55287933349609,-27.261798858642578,20130515044243,484.56265258789062,393.795
117.55204772949219,-27.257320404052734,20130515044248,486.4451904296875,394.033
120.20240020751953,-27.835573196411133,20130515044252,495.75967407226562,393.696
120.20248413085938,-27.831605911254883,20130515044257,496.70578002929688,393.121
120.20169067382812,-27.828556060791016,20130515044301,497.0657958984375,393.565
119.63185119628906,-30.389215469360352,20130515044306,477.43402099609375,393.479
119.6314697265625,-30.386392593383789,20130515044311,478.11181640625,392.183
119.63322448730469,-30.382513046264648,20130515044315,479.7939453125,391.376
116.91810607910156,-29.770586013793945,20130515044320,317.64141845703125,393.353
116.920166015625,-29.763433456420898,20130515044324,319.10543823242188,392.226
116.91953277587891,-29.758321762084961,20130515044329,319.84207153320312,393.373
116.26355743408203,-32.282035827636719,20130515044401,301.97323608398438,391.387
116.26351165771484,-32.280773162841797,20130515044406,301.228515625,393.078
116.26303863525391,-32.275089263916016,20130515044411,299.93438720703125,393.369
113.59900665283203,53.172798156738281,20130515055842,920.09820556640625,397.764
113.59705352783203,53.169406890869141,20130515055846,920.7862548828125,397.967
113.80890655517578,45.025318145751953,20130515060032,1341.3292236328125,400.354
113.80349731445312,45.019775390625,20130515060037,1337.2880859375,397.642
113.80132293701172,45.014518737792969,20130515060042,1333.5267333984375,398.116
104.71199035644531,25.728054046630859,20130515060618,1688.3521728515625,396.293
104.71302795410156,25.732555389404297,20130515060623,1678.1094970703125,395.495
104.71151733398438,25.733417510986328,20130515060627,1674.841796875,397.734
102.94854736328125,18.166997909545898,20130515060823,171.27125549316406,398.625
102.94763946533203,18.165958404541016,20130515060827,171.28256225585938,399.591
102.94628143310547,18.167984008789062,20130515060832,171.18156433105469,398.862
83.377815246582031,48.678855895996094,20130515073802,424.38796997070312,396.691
83.374168395996094,48.679576873779297,20130515073807,425.73513793945312,397.215
83.371498107910156,48.68182373046875,20130515073811,426.95819091796875,396.34
86.929084777832031,48.227561950683594,20130515073816,1295.764404296875,397.805
86.926918029785156,48.223068237304688,20130515073820,1303.2581787109375,398.216
86.92529296875,48.223258972167969,20130515073825,1302.1710205078125,398.333
85.989608764648438,45.748443603515625,20130515073857,263.282470703125,396.427
82.596435546875,46.192863464355469,20130515073911,811.67401123046875,397.147
82.597572326660156,46.194587707519531,20130515073916,811.464111328125,397.32
82.597373962402344,46.200901031494141,20130515073920,805.03509521484375,397.431
81.872955322265625,43.683067321777344,20130515073925,737.39569091796875,396.238
81.869583129882812,43.683685302734375,20130515073930,737.389892578125,395.904
81.867401123046875,43.687202453613281,20130515073934,739.453857421875,396.89
84.300003051757812,40.767074584960938,20130515074020,931.30059814453125,396.721
84.301033020019531,40.769371032714844,20130515074025,931.314697265625,396.759
84.299240112304688,40.769260406494141,20130515074029,931.3466796875,397.209
78.110977172851562,28.626419067382812,20130515074338,209.43287658691406,401.131
78.108955383300781,28.629362106323242,20130515074343,209.62008666992188,400.88
80.789970397949219,28.235849380493164,20130515074348,145.908447265625,398.233
80.788673400878906,28.233386993408203,20130515074352,145.83621215820312,398.533
80.787246704101562,28.234931945800781,20130515074357,145.94454956054688,399.333
82.7298583984375,25.091028213500977,20130515074415,93.478385925292969,401.739
82.7266845703125,25.087884902954102,20130515074420,94.7764892578125,402.254
82.725509643554688,25.083948135375977,20130515074425,96.260360717773438,402.339
60.558559417724609,53.652275085449219,20130515091450,328.3050537109375,393.446
60.554847717285156,53.653537750244141,20130515091455,329.36883544921875,394.354
60.552291870117188,53.656135559082031,20130515091459,330.96035766601562,394.895
66.976486206054688,49.928318023681641,20130515091531,381.35711669921875,396.104
66.970100402832031,49.922267913818359,20130515091536,380.09786987304688,394.766
66.966934204101562,49.91583251953125,20130515091541,380.06729125976562,395.505
59.655460357666016,51.174732208251953,20130515091559,291.19573974609375,397.304
59.657077789306641,51.176403045654297,20130515091604,290.92752075195312,395.5
59.657276153564453,51.1826171875,20130515091608,289.63552856445312,395.856
60.571506500244141,43.248695373535156,20130515091754,91.602821350097656,398.367
63.702781677246094,42.534114837646484,20130515091804,515.60302734375,396.052
63.701568603515625,42.529472351074219,20130515091808,522.582763671875,397.038
